id_dia,fecha,semana,fdo_fatiga
1,2024-11-11,1,0.2761514928204013
2,2024-11-12,1,0.1768291153593769
3,2024-11-13,1,0.2157123666297637
4,2024-11-14,1,0.2727808637737409
5,2024-11-15,1,0.3926139092254469
6,2024-11-16,1,0.13359069755507846
7,2024-11-17,1,0.16400778958026457
8,2024-11-18,2,0.22069935453015663
9,2024-11-19,2,0.30332271090157253
10,2024-11-20,2,0.2509449484664379
11,2024-11-21,2,0.43277763733615493
12,2024-11-22,2,0.34356186015357904
13,2024-11-23,2,0.2709830100284388
14,2024-11-24,2,0.23494004688884668
15,2024-11-25,3,0.2880586429526411
16,2024-11-26,3,0.3219684286270473
17,2024-11-27,3,0.3241682762075897
18,2024-11-28,3,0.47923062463771404
19,2024-11-29,3,0.3839171263850991
20,2024-11-30,3,0.26992824447409725
21,2024-12-01,3,0.31832260201752427
22,2024-12-02,4,0.3761610061536575
23,2024-12-03,4,0.387328009681953
24,2024-12-04,4,0.41180517009857975
25,2024-12-05,4,0.4228458493880917
26,2024-12-06,4,0.4504035219744658
27,2024-12-07,4,0.39933638834096824
28,2024-12-08,4,0.37434105084287383
29,2024-12-09,5,0.36103330329028704
30,2024-12-10,5,0.4439335815422512
31,2024-12-11,5,0.45075138074710813
32,2024-12-12,5,0.6339147465154936
33,2024-12-13,5,0.4642945792853529
34,2024-12-14,5,0.5253790226480846
35,2024-12-15,5,0.41244499610847324
36,2024-12-16,6,0.5609999847413276
37,2024-12-17,6,0.4485155690839602
38,2024-12-18,6,0.3106639057238191
39,2024-12-19,6,0.5792643015915773
40,2024-12-20,6,0.5826802575059462
41,2024-12-21,6,0.41083649778593023
42,2024-12-22,6,0.46232116020940894
43,2024-12-23,7,0.5426377033165577
44,2024-12-24,7,0.5262276475745198
45,2024-12-25,7,0.5822115698720868
46,2024-12-26,7,0.6434810448971493
47,2024-12-27,7,0.5665632966333406
48,2024-12-28,7,0.5310629551824135
49,2024-12-29,7,0.4990864996325285
50,2024-12-30,8,0.5094139647433156
51,2024-12-31,8,0.5738212553200104
52,2025-01-01,8,0.6077855075302404
53,2025-01-02,8,0.6824478018572715
54,2025-01-03,8,0.7894773046937595
55,2025-01-04,8,0.5518485495459807
56,2025-01-05,8,0.6293393737274843
57,2025-01-06,9,0.6129048537584011
58,2025-01-07,9,0.6366258213495455
59,2025-01-08,9,0.6620855780665738
60,2025-01-09,9,0.8139212351397624
61,2025-01-10,9,0.7849421839113541
62,2025-01-11,9,0.5772007107303476
63,2025-01-12,9,0.5673585634528918
64,2025-01-13,10,0.6256856158838483
65,2025-01-14,10,0.7386662069341529
66,2025-01-15,10,0.6632266256417318
67,2025-01-16,10,0.7798606109324298
68,2025-01-17,10,0.7151495377991632
69,2025-01-18,10,0.7468878364808198
70,2025-01-19,10,0.6585804466969646
71,2025-01-20,11,0.7023903353881322
72,2025-01-21,11,0.7917634228311274
73,2025-01-22,11,0.7022550069705545
74,2025-01-23,11,0.8166159789261287
75,2025-01-24,11,0.8726225550735421
76,2025-01-25,11,0.7584406705406195
77,2025-01-26,11,0.7478244790203661
78,2025-01-27,12,0.8264902088957642
79,2025-01-28,12,0.769800740664209
80,2025-01-29,12,0.7756196887963753
81,2025-01-30,12,0.883698823391608
82,2025-01-31,12,0.9009209189594776
83,2025-02-01,12,0.8385432596943484
84,2025-02-02,12,0.8090933127529248
