id_dia,fecha,semana,fdo_produccion
1,2024-11-11,1,0.32483570765056163
2,2024-11-12,1,0.3383717364576454
3,2024-11-13,1,0.21375410837434833
4,2024-11-14,1,0.2887111849756732
5,2024-11-15,1,0.2699680655040597
6,2024-11-16,1,0.23895781750144887
7,2024-11-17,1,0.29421758588058794
8,2024-11-18,2,0.26639344677731785
9,2024-11-19,2,0.31258457838432263
10,2024-11-20,2,0.294735123341421
11,2024-11-21,2,0.3726152348208753
12,2024-11-22,2,0.3395950870221612
13,2024-11-23,2,0.31412077440079517
14,2024-11-24,2,0.402977704072099
15,2024-11-25,3,0.4093465819230321
16,2024-11-26,3,0.429293451931636
17,2024-11-27,3,0.4121024195879604
18,2024-11-28,3,0.4466875607252478
19,2024-11-29,3,0.3595640928343746
20,2024-11-30,3,0.4327705306226681
21,2024-12-01,3,0.42046390582111554
22,2024-12-02,4,0.3976135329821498
23,2024-12-03,4,0.4782899873012977
24,2024-12-04,4,0.5029905938234862
25,2024-12-05,4,0.4513669578362201
26,2024-12-06,4,0.5049955260881648
27,2024-12-07,4,0.410091738733308
28,2024-12-08,4,0.3878940024020704
29,2024-12-09,5,0.47398894637176153
30,2024-12-10,5,0.5708719207835633
31,2024-12-11,5,0.5467263437164765
32,2024-12-12,5,0.5063408878448178
33,2024-12-13,5,0.4945852248923465
34,2024-12-14,5,0.529004747660917
35,2024-12-15,5,0.4850924949433988
36,2024-12-16,6,0.5560022109352253
37,2024-12-17,6,0.6788350825779044
38,2024-12-18,6,0.6114589753987396
39,2024-12-19,6,0.6543478379238545
40,2024-12-20,6,0.5732389257782521
41,2024-12-21,6,0.5784031399898352
42,2024-12-22,6,0.6021431330515016
43,2024-12-23,7,0.6451235015709795
44,2024-12-24,7,0.5992636752628787
45,2024-12-25,7,0.6546275963312291
46,2024-12-26,7,0.6283229193543651
47,2024-12-27,7,0.5863616931110536
48,2024-12-28,7,0.6586900027359412
49,2024-12-29,7,0.5859978674331017
50,2024-12-30,8,0.6564710230496252
51,2024-12-31,8,0.697363560098082
52,2025-01-01,8,0.6673852498721748
53,2025-01-02,8,0.7163253814037374
54,2025-01-03,8,0.7067180963804542
55,2025-01-04,8,0.7913083284790654
56,2025-01-05,8,0.6893378711419922
57,2025-01-06,9,0.6703519760126042
58,2025-01-07,9,0.7982544519623094
59,2025-01-08,9,0.6829826148945066
60,2025-01-09,9,0.8002474774585617
61,2025-01-10,9,0.8394010326077357
62,2025-01-11,9,0.7706662093635583
63,2025-01-12,9,0.8114814889684377
64,2025-01-13,10,0.7892743535043862
65,2025-01-14,10,0.7652157450422562
66,2025-01-15,10,0.7512654492959737
67,2025-01-16,10,0.7559228155094616
68,2025-01-17,10,0.7621181788768568
69,2025-01-18,10,0.8197369390618792
70,2025-01-19,10,0.801082272702452
71,2025-01-20,11,0.8450559133887146
72,2025-01-21,11,0.8359376115503651
73,2025-01-22,11,0.8129224169984541
74,2025-01-23,11,0.8429426399820886
75,2025-01-24,11,0.8504211607260067
76,2025-01-25,11,0.7552104404213195
77,2025-01-26,11,0.8421505555221797
78,2025-01-27,12,0.8711554065238425
79,2025-01-28,12,0.9288536063590269
80,2025-01-29,12,0.9127210421650606
81,2025-01-30,12,0.9144887428448205
82,2025-01-31,12,0.8495956844541297
83,2025-02-01,12,0.9414702790591744
84,2025-02-02,12,0.8792356043049598
