id_dia,fecha,semana,fdo_backlog
1,2024-11-11,1,0.19308678494144077
2,2024-11-12,1,0.1765262807032524
3,2024-11-13,1,0.17188562353795137
4,2024-11-14,1,0.2033764102343962
5,2024-11-15,1,0.18541531251033616
6,2024-11-16,1,0.2104431797502378
7,2024-11-17,1,0.18494481522053557
8,2024-11-18,2,0.2798405621061034
9,2024-11-19,2,0.24817574484380295
10,2024-11-20,2,0.30426265475607356
11,2024-11-21,2,0.3405381919596621
12,2024-11-22,2,0.2682244024631388
13,2024-11-23,2,0.23854851145713685
14,2024-11-24,2,0.22853370894249606
15,2024-11-25,3,0.3155433706039699
16,2024-11-26,3,0.4215820223332538
17,2024-11-27,3,0.4504348328969916
18,2024-11-28,3,0.3668243246248796
19,2024-11-29,3,0.2989578407925887
20,2024-11-30,3,0.2813015155610371
21,2024-12-01,3,0.3926298649868487
22,2024-12-02,4,0.41700616918993577
23,2024-12-03,4,0.3551915200077725
24,2024-12-04,4,0.4488388698594611
25,2024-12-05,4,0.35322228269121636
26,2024-12-06,4,0.39155918550298624
27,2024-12-07,4,0.4150327116712501
28,2024-12-08,4,0.36858334330573983
29,2024-12-09,5,0.46223170984273093
30,2024-12-10,5,0.38566198614759994
31,2024-12-11,5,0.5113237365544845
32,2024-12-12,5,0.4302772771539993
33,2024-12-13,5,0.5089929843938228
34,2024-12-14,5,0.45682404654064523
35,2024-12-15,5,0.49716712128526575
36,2024-12-16,6,0.4944345526237704
37,2024-12-17,6,0.5698050812093756
38,2024-12-18,6,0.47183529460291407
39,2024-12-19,6,0.44667474928378653
40,2024-12-20,6,0.46910638562942064
41,2024-12-21,6,0.5512883519078705
42,2024-12-22,6,0.5322314115685698
43,2024-12-23,7,0.5471727020551491
44,2024-12-24,7,0.6191828620743449
45,2024-12-25,7,0.5717085491964871
46,2024-12-26,7,0.61591583038293
47,2024-12-27,7,0.6864375456024548
48,2024-12-28,7,0.581205843175836
49,2024-12-29,7,0.5657488897355322
50,2024-12-30,8,0.6219026301736293
51,2024-12-31,8,0.7192223563020231
52,2025-01-01,8,0.66159047347145
53,2025-01-02,8,0.6253935218602537
54,2025-01-03,8,0.7180117258442976
55,2025-01-04,8,0.6050396311867879
56,2025-01-05,8,0.6625423442434035
57,2025-01-06,9,0.8006638473836267
58,2025-01-07,9,0.6293695261511907
59,2025-01-08,9,0.7019719348398443
60,2025-01-09,9,0.7257066096898885
61,2025-01-10,9,0.7968579512130692
62,2025-01-11,9,0.7620121334333884
63,2025-01-12,9,0.7127956481118978
64,2025-01-13,10,0.6693551677252789
65,2025-01-14,10,0.7197665966328252
66,2025-01-15,10,0.7673757547295448
67,2025-01-16,10,0.7834262682639838
68,2025-01-17,10,0.7589746878696905
69,2025-01-18,10,0.7882897804544495
70,2025-01-19,10,0.7349097354630575
71,2025-01-20,11,0.9103608433081377
72,2025-01-21,11,0.7925827236943985
73,2025-01-22,11,0.8120073671754016
74,2025-01-23,11,0.8244162340203159
75,2025-01-24,11,0.8739329925322259
76,2025-01-25,11,0.7549865144694783
77,2025-01-26,11,0.7758128263755136
78,2025-01-27,12,0.941784605603257
79,2025-01-28,12,0.8898477306978503
80,2025-01-29,12,0.91688013310376
81,2025-01-30,12,1.0
82,2025-01-31,12,0.8064604039487071
83,2025-02-01,12,0.7894432345496056
84,2025-02-02,12,0.9316390933053141
