id_dia,fecha,semana,fdo_congestion
1,2024-11-11,1,0.2823844269050346
2,2024-11-12,1,0.2771280021792982
3,2024-11-13,1,0.19935844398327882
4,2024-11-14,1,0.17876259068932715
5,2024-11-15,1,0.21991466938853016
6,2024-11-16,1,0.15201649380601123
7,2024-11-17,1,0.17607390048162863
8,2024-11-18,2,0.2852913405246387
9,2024-11-19,2,0.32110862611563273
10,2024-11-20,2,0.3723574559739957
11,2024-11-21,2,0.30275415258995697
12,2024-11-22,2,0.20516700881540992
13,2024-11-23,2,0.3503155604305583
14,2024-11-24,2,0.28816234721556616
15,2024-11-25,3,0.28832237198838834
16,2024-11-26,3,0.367819799732501
17,2024-11-27,3,0.3494728608518529
18,2024-11-28,3,0.3136215363511721
19,2024-11-29,3,0.3640734773452911
20,2024-11-30,3,0.4365876293417861
21,2024-12-01,3,0.2787167473628477
22,2024-12-02,4,0.4284855972980229
23,2024-12-03,4,0.5069250891936015
24,2024-12-04,4,0.37260224771877803
25,2024-12-05,4,0.3691606421550874
26,2024-12-06,4,0.4863130674942294
27,2024-12-07,4,0.40246322437007104
28,2024-12-08,4,0.4564563033525372
29,2024-12-09,5,0.47109225410411815
30,2024-12-10,5,0.421290566186062
31,2024-12-11,5,0.5158819063564782
32,2024-12-12,5,0.47227552515113425
33,2024-12-13,5,0.4713958191365913
34,2024-12-14,5,0.4356018008015273
35,2024-12-15,5,0.4285557812601831
36,2024-12-16,6,0.4900608110985871
37,2024-12-17,6,0.446758774429572
38,2024-12-18,6,0.5197510049241827
39,2024-12-19,6,0.5007250483924235
40,2024-12-20,6,0.5458324464404363
41,2024-12-21,6,0.6020281135345403
42,2024-12-22,6,0.491592296736243
43,2024-12-23,7,0.6222527210443897
44,2024-12-24,7,0.6077912405444004
45,2024-12-25,7,0.5663886671113662
46,2024-12-26,7,0.5617593894430544
47,2024-12-27,7,0.5269718581977421
48,2024-12-28,7,0.5324100086984356
49,2024-12-29,7,0.5979192999865084
50,2024-12-30,8,0.6434206786860637
51,2024-12-31,8,0.6747011629782829
52,2025-01-01,8,0.5904566346405656
53,2025-01-02,8,0.6430228059087026
54,2025-01-03,8,0.6797817231224422
55,2025-01-04,8,0.589832089709143
56,2025-01-05,8,0.7256267237789762
57,2025-01-06,9,0.7453356423997006
58,2025-01-07,9,0.6563948852159477
59,2025-01-08,9,0.6923784179492313
60,2025-01-09,9,0.6489393095358086
61,2025-01-10,9,0.6739154289396826
62,2025-01-11,9,0.5984266620424805
63,2025-01-12,9,0.7677944136422009
64,2025-01-13,10,0.7364530889334515
65,2025-01-14,10,0.7377751360454323
66,2025-01-15,10,0.6891469747881223
67,2025-01-16,10,0.7352926884245494
68,2025-01-17,10,0.6258130326723117
69,2025-01-18,10,0.8948531313318528
70,2025-01-19,10,0.6697964054292073
71,2025-01-20,11,0.7993229608369263
72,2025-01-21,11,0.7263145589063286
73,2025-01-22,11,0.7658348492426019
74,2025-01-23,11,0.7500763623524656
75,2025-01-24,11,0.7119842813984768
76,2025-01-25,11,0.7978587927876145
77,2025-01-26,11,0.7628627400644374
78,2025-01-27,12,0.7935146572671191
79,2025-01-28,12,0.8685572936685654
80,2025-01-29,12,0.8294061516938767
81,2025-01-30,12,0.8935562351715846
82,2025-01-31,12,0.8324243257979346
83,2025-02-01,12,0.8617807279054283
84,2025-02-02,12,0.9635346428902198
