fecha,semana,dia_semana,clima,fatiga,congestion,backlog,dotacion,variabilidad
2024-11-11,1,Lunes,44.77081939938406,41.26653500460715,37.545480438158286,48.32027390689648,81.79577707752068,19.586865663137342
2024-11-12,1,Martes,43.57825613917752,38.661757837774715,40.14841242760031,44.541194794539294,81.90100551056526,19.31404834339474
2024-11-13,1,Miércoles,46.01100362122298,39.94215023165026,40.53933871479414,44.53988712880724,81.41543108249924,21.445080160580154
2024-11-14,1,Jueves,45.91985805164429,41.21502865429901,38.1112624449139,45.64649152581796,82.49840353497507,20.982809134038995
2024-11-15,1,Viernes,42.938564994396955,39.90046698070183,40.749955876679415,43.48520096620338,77.2834576065533,19.367804263126946
2024-11-16,1,Sábado,43.5183351840646,39.971421937220065,36.81719070500742,46.12940212507231,78.73078992941329,21.991504473362713
2024-11-17,1,Domingo,44.446202320407245,39.94922190723103,39.653930242606165,43.62368061979946,84.94455892454532,19.00826764398543
2024-11-18,2,Lunes,52.04704304493132,39.81274210787321,45.744262782186325,50.95774432786367,77.95164604580374,20.857990560720854
2024-11-19,2,Martes,49.47335619477207,41.19342099605376,49.804052563670915,49.954793821110364,79.0497775573279,25.563250180850734
2024-11-20,2,Miércoles,48.247362664051636,42.075320466335874,44.46162773663722,49.82772310903327,77.64197606576504,20.536245828739567
2024-11-21,2,Jueves,50.39082056999327,39.874734445167796,46.97776547461804,51.24661961330921,77.01307436727197,21.11003335725228
2024-11-22,2,Viernes,50.551021124696504,40.40290936878763,48.62396024826974,50.715851457383536,78.78652630276736,23.36289016071457
2024-11-23,2,Sábado,48.841073451859856,44.17801996356955,45.22906673243093,51.90029094199766,77.60409374686334,24.634556453462373
2024-11-24,2,Domingo,50.80268725404958,46.365014048354176,44.26095676635554,50.40909879218149,75.93684750625968,20.94140352490756
2024-11-25,3,Lunes,56.23737309569581,47.258648875079004,55.93002070344144,54.80674218675356,75.13357318470881,26.50665152075448
2024-11-26,3,Martes,52.74434555899739,46.12855477605347,48.99548856761175,55.423189940760786,79.18209220432934,24.778533141838608
2024-11-27,3,Miércoles,56.865758168657244,46.7463170972383,46.27133694338181,53.196798507928854,73.87638627720905,29.00347420506027
2024-11-28,3,Jueves,54.789216149125345,48.56165842593329,46.734095438916036,53.85446315090295,78.60099648353194,25.35854920885337
2024-11-29,3,Viernes,56.06571978562692,42.492383532413484,52.753606985757855,56.55403219151458,77.80325101098295,23.628779437836386
2024-11-30,3,Sábado,55.64760025521189,44.41702004201302,46.69901757992448,54.89915429655702,76.68653920355494,27.12480301975024
2024-12-01,3,Domingo,50.531147115371596,45.4703996577094,47.688863903788565,55.63844668439109,77.74856011115462,24.826310445739615
2024-12-02,4,Lunes,61.61458624962217,45.5084678818006,57.2154409005634,58.583842267611715,72.88820269902021,27.45520805900038
2024-12-03,4,Martes,55.809684954640026,48.50834778449241,54.48149911483955,62.467373842752075,77.297848421014,25.21600732562398
2024-12-04,4,Miércoles,58.32322501776423,49.04132884106842,56.69415801997007,62.44500182977376,78.4290185706107,27.820954779504188
2024-12-05,4,Jueves,60.725311244502336,50.59747700788759,54.3933830761281,60.75945237388025,75.34623844064069,26.898103771069145
2024-12-06,4,Viernes,60.09677023657161,46.624913097320814,54.7381680544605,57.930090270935736,75.62001122563524,28.896780587231724
