id_dia,fecha,semana,fdo_variabilidad
1,2024-11-11,1,0.2789606407753696
2,2024-11-12,1,0.10433598776711012
3,2024-11-13,1,0.2732824384460777
4,2024-11-14,1,0.21878490091728361
5,2024-11-15,1,0.24112724560515947
6,2024-11-16,1,0.20856841405949852
7,2024-11-17,1,0.21718091447842308
8,2024-11-18,2,0.3011094605012645
9,2024-11-19,2,0.19922870584515318
10,2024-11-20,2,0.22228946681519834
11,2024-11-21,2,0.2588978079573631
12,2024-11-22,2,0.2286319436317722
13,2024-11-23,2,0.2593993320128566
14,2024-11-24,2,0.26759821815444906
15,2024-11-25,3,0.3010266235076086
16,2024-11-26,3,0.30776521531844825
17,2024-11-27,3,0.36623204981666013
18,2024-11-28,3,0.418613690381408
19,2024-11-29,3,0.25597572340460384
20,2024-11-30,3,0.24754769326921133
21,2024-12-01,3,0.24724337354700499
22,2024-12-02,4,0.3752490484944138
23,2024-12-03,4,0.31490228012499755
24,2024-12-04,4,0.458476012769061
25,2024-12-05,4,0.3774709036028646
26,2024-12-06,4,0.3207784858155495
27,2024-12-07,4,0.3212966777329434
28,2024-12-08,4,0.3829022326228055
29,2024-12-09,5,0.47233438034058206
30,2024-12-10,5,0.6108183927145543
31,2024-12-11,5,0.37954055745493964
32,2024-12-12,5,0.3375460246223356
33,2024-12-13,5,0.3816634865959614
34,2024-12-14,5,0.4275045339202896
35,2024-12-15,5,0.3581669978290294
36,2024-12-16,6,0.5186203700800115
37,2024-12-17,6,0.49491824413458413
38,2024-12-18,6,0.4103381136290302
39,2024-12-19,6,0.5308854603350207
40,2024-12-20,6,0.4534615928841847
41,2024-12-21,6,0.46513801797549353
42,2024-12-22,6,0.5152073775783239
43,2024-12-23,7,0.4858229767266236
44,2024-12-24,7,0.49769415783093574
45,2024-12-25,7,0.5925466676304437
46,2024-12-26,7,0.5570305785445729
47,2024-12-27,7,0.558478718125335
48,2024-12-28,7,0.5199198581976203
49,2024-12-29,7,0.5395210558281633
50,2024-12-30,8,0.5711458242325894
51,2024-12-31,8,0.5808925250185623
52,2025-01-01,8,0.6019037679231288
53,2025-01-02,8,0.5830436905311289
54,2025-01-03,8,0.5909852821050994
55,2025-01-04,8,0.5438615487404969
56,2025-01-05,8,0.606414140393507
57,2025-01-06,9,0.6306366441010055
58,2025-01-07,9,0.6675061329810112
59,2025-01-08,9,0.5596579278268552
60,2025-01-09,9,0.6397395604341418
61,2025-01-10,9,0.5881174633346311
62,2025-01-11,9,0.6722407491534345
63,2025-01-12,9,0.6555669088106018
64,2025-01-13,10,0.6439151015927231
65,2025-01-14,10,0.6643962099904689
66,2025-01-15,10,0.6926722685076774
67,2025-01-16,10,0.6643840335285646
68,2025-01-17,10,0.678457288931272
69,2025-01-18,10,0.6105867748962123
70,2025-01-19,10,0.7349910787565634
71,2025-01-20,11,0.6935922377382225
72,2025-01-21,11,0.7736030072890739
73,2025-01-22,11,0.7589773867435373
74,2025-01-23,11,0.6965767832146178
75,2025-01-24,11,0.7072915876274195
76,2025-01-25,11,0.6623785423410974
77,2025-01-26,11,0.7957691859152674
78,2025-01-27,12,0.7601552372264762
79,2025-01-28,12,0.8583891030829904
80,2025-01-29,12,0.7789507759589869
81,2025-01-30,12,0.6980937732411073
82,2025-01-31,12,0.7890449735595568
83,2025-02-01,12,0.8169248203747208
84,2025-02-02,12,0.7575077815267605
