id_dia,fecha,semana,fdo_dotacion
1,2024-11-11,1,0.888293152152541
2,2024-11-12,1,0.9120981135783017
3,2024-11-13,1,0.8293848149332355
4,2024-11-14,1,0.8424503211288848
5,2024-11-15,1,0.847114453552205
6,2024-11-16,1,0.9369233289997705
7,2024-11-17,1,0.9528561113109458
8,2024-11-18,2,0.9242772488520703
9,2024-11-19,2,0.863444323894082
10,2024-11-20,2,0.8908090739796545
11,2024-11-21,2,0.913822397946034
12,2024-11-22,2,0.9466219749643486
13,2024-11-23,2,0.8983906443829406
14,2024-11-24,2,0.8875332865805016
15,2024-11-25,3,0.8053406819934645
16,2024-11-26,3,0.7495159846895934
17,2024-11-27,3,0.7870206435735688
18,2024-11-28,3,0.874797400144559
19,2024-11-29,3,0.8488826941948469
20,2024-11-30,3,0.886130406323029
21,2024-12-01,3,0.884545689043411
22,2024-12-02,4,0.7841805821028937
23,2024-12-03,4,0.8510094986135097
24,2024-12-04,4,0.8592848261815428
25,2024-12-05,4,0.8352394169226505
26,2024-12-06,4,0.8494651855700686
27,2024-12-07,4,0.8145403725489746
28,2024-12-08,4,0.8268408644743773
29,2024-12-09,5,0.8189483172275026
30,2024-12-10,5,0.8166614752243933
31,2024-12-11,5,0.8288575519337542
32,2024-12-12,5,0.8252221004278165
33,2024-12-13,5,0.8248889783558246
34,2024-12-14,5,0.6896519615762106
35,2024-12-15,5,0.834196850617597
36,2024-12-16,6,0.7005921659196114
37,2024-12-17,6,0.7282528903554246
38,2024-12-18,6,0.7510079560667057
39,2024-12-19,6,0.6918432560773917
40,2024-12-20,6,0.7671264678858646
41,2024-12-21,6,0.6660319736602386
42,2024-12-22,6,0.7341681257891531
43,2024-12-23,7,0.7678450784598171
44,2024-12-24,7,0.8002468811530576
45,2024-12-25,7,0.7770391181636683
46,2024-12-26,7,0.7412134346132724
47,2024-12-27,7,0.7759467710617832
48,2024-12-28,7,0.785119623034524
49,2024-12-29,7,0.748547996938232
50,2024-12-30,8,0.6731686980282873
51,2024-12-31,8,0.6589644408590186
52,2025-01-01,8,0.7036529016680663
53,2025-01-02,8,0.6704404198981357
54,2025-01-03,8,0.752706940926943
55,2025-01-04,8,0.6828031580068711
56,2025-01-05,8,0.6641701755234912
57,2025-01-06,9,0.7495118005264525
58,2025-01-07,9,0.6593149082442197
59,2025-01-08,9,0.6255860772262885
60,2025-01-09,9,0.7407830410213732
61,2025-01-10,9,0.7502497596947993
62,2025-01-11,9,0.6683478400959539
63,2025-01-12,9,0.679040796873351
64,2025-01-13,10,0.6728753668502969
65,2025-01-14,10,0.6797477803213468
66,2025-01-15,10,0.752781711191274
67,2025-01-16,10,0.6924208400478198
68,2025-01-17,10,0.7367938402205187
69,2025-01-18,10,0.6067684325154332
70,2025-01-19,10,0.7389025362990828
71,2025-01-20,11,0.6542182294569603
72,2025-01-21,11,0.5573443485817703
73,2025-01-22,11,0.5857252214521754
74,2025-01-23,11,0.6523185866539464
75,2025-01-24,11,0.6558026607023852
76,2025-01-25,11,0.659202350211596
77,2025-01-26,11,0.608044950061236
78,2025-01-27,12,0.47641777499363563
79,2025-01-28,12,0.5922161382303961
80,2025-01-29,12,0.6197226071189149
81,2025-01-30,12,0.5795962313489225
82,2025-01-31,12,0.6163463686882082
83,2025-02-01,12,0.6571877021603465
84,2025-02-02,12,0.5770319550229879
