id_dia,fecha,semana,criticidad_R01,criticidad_R02,criticidad_R03,criticidad_global
1,2024-11-11,1,0.22431748522273398,0.37491007449632735,0.15201194608414675,0.28153739507488384
2,2024-11-12,1,0.26206103440140766,0.3952931393737887,0.22260593820570496,0.31881331283867254
3,2024-11-13,1,0.2346995080343576,0.381126198327737,0.15663790421731244,0.288397452226786
4,2024-11-14,1,0.2366608732526308,0.3886092489154878,0.15899504564092642,0.2932186041811332
5,2024-11-15,1,0.22233504027467124,0.37270965849936055,0.19320219219276447,0.29023913736653917
6,2024-11-16,1,0.2802580884954651,0.39157709963873294,0.18256346660085576,0.31149393859344665
7,2024-11-17,1,0.2126603589006575,0.3267863240268928,0.16089586300808553,0.2567822174906321
8,2024-11-18,2,0.29779423467776983,0.40057237156197134,0.1740510850058184,0.3182475157018827
9,2024-11-19,2,0.2710597325999591,0.41508551514516717,0.1592010841869648,0.31510796176931455
10,2024-11-20,2,0.3520344202292292,0.4008704707087084,0.20668725412607886,0.3401156539431812
11,2024-11-21,2,0.29450027144423346,0.39873638929269223,0.19179904943261353,0.32094302486555787
12,2024-11-22,2,0.2859907726866769,0.4019603765640336,0.15915234257485567,0.31226596709739995
13,2024-11-23,2,0.313089874111922,0.45191528034879647,0.19544784027814313,0.35309206877191457
14,2024-11-24,2,0.2757301360046637,0.4009710460117002,0.2055341107744066,0.3208015847006177
15,2024-11-25,3,0.291680937851556,0.4112209463013335,0.20909047193774005,0.33080332559799075
16,2024-11-26,3,0.3111731254677793,0.5170698239612155,0.17394016223220782,0.37981323390560456
17,2024-11-27,3,0.2826481133561229,0.4361688539517212,0.1981712069158807,0.33828925704386154
18,2024-11-28,3,0.22583242423520156,0.46647648557999893,0.2051913369847656,0.34099418309499124
19,2024-11-29,3,0.256602182292637,0.4022102639168593,0.1942500748865849,0.31381819625323515
20,2024-11-30,3,0.2876324905077909,0.39582614038017283,0.1971463709679616,0.3191077855590245
21,2024-12-01,3,0.28727283836211537,0.4335367989865126,0.17990206636436878,0.3335621256748773
22,2024-12-02,4,0.31346540138088463,0.5104968096669623,0.171743633946998,0.3765506636654518
23,2024-12-03,4,0.3519787690682509,0.5418323192119967,0.15078566739530003,0.39660726872188606
24,2024-12-04,4,0.33368189744126187,0.4558478712472746,0.2076642190481673,0.36326046474599455
25,2024-12-05,4,0.2849860409195681,0.4782969756469914,0.15512098008471864,0.3491752430745674
26,2024-12-06,4,0.3229294976104192,0.4863846098903516,0.18572310103920261,0.37035545460758124
27,2024-12-07,4,0.3174580655685181,0.48678151512102474,0.16259433558573513,0.3634038578490757
28,2024-12-08,4,0.32283291688968374,0.4829183157791456,0.16144126323982,0.3625277029219488
29,2024-12-09,5,0.324606347775078,0.5308355837117018,0.18389046799575698,0.39254199579855964
30,2024-12-10,5,0.2611285501976098,0.5734756498893904,0.17644576481629368,0.396131403698171
31,2024-12-11,5,0.27870738393684646,0.5692007375931106,0.15931441475584274,0.3941058184697276
32,2024-12-12,5,0.33326445285792,0.5405134497432358,0.20676692772801797,0.4052645700181024
33,2024-12-13,5,0.3175745902813647,0.48959283097664713,0.18863997259434095,0.3713500562072499
34,2024-12-14,5,0.33882139622170065,0.5209614526811917,0.15936915584197142,0.38502836435651383
35,2024-12-15,5,0.3790557437589157,0.5598885336126056,0.15162575955020902,0.412614642633584
36,2024-12-16,6,0.3417869091379271,0.5561386241689413,0.1903135646159237,0.4110944305229334
37,2024-12-17,6,0.3783176004732012,0.561537119284334,0.18916476647111247,0.4226391513782454
38,2024-12-18,6,0.3567598820897559,0.5667522814363637,0.16459033145996724,0.41371369410561265
39,2024-12-19,6,0.3769642629809448,0.598601526318832,0.1998131918740195,0.4434951268731571
40,2024-12-20,6,0.3334236827071758,0.6266646445531264,0.16229905772494924,0.43726300738459445
41,2024-12-21,6,0.35434997045694394,0.5950657650117788,0.15078011541064415,0.4238154039727864
42,2024-12-22,6,0.41657697166424523,0.5271793521106752,0.2235603026646185,0.42362399463755357
43,2024-12-23,7,0.417833913138743,0.6070455821117015,0.16556540600587755,0.44937262084200585
44,2024-12-24,7,0.3337704249554899,0.6622002679757375,0.16608381844937256,0.4560636948390843
45,2024-12-25,7,0.4390074618231673,0.5843143921523842,0.1831228308511188,0.4476897692447636
46,2024-12-26,7,0.3700159693148691,0.5701231902397528,0.2069071984177294,0.42929238705302597
47,2024-12-27,7,0.39833771979419846,0.6063797001230042,0.20210807855387475,0.4533012996485204
48,2024-12-28,7,0.38543488884453914,0.6518819534324547,0.1979913153568389,0.47179752776657186
49,2024-12-29,7,0.3846552676520043,0.611818906360857,0.16612064156309675,0.44360343048420375
50,2024-12-30,8,0.42925862762332223,0.7328390043348104,0.16547326112599214,0.5151024743547339
51,2024-12-31,8,0.4035714090003287,0.6733077813256565,0.20906413084221312,0.4898127756234637
52,2025-01-01,8,0.4121154317585306,0.6295283967890984,0.16633843959116212,0.4593776662319724
53,2025-01-02,8,0.3797397257624581,0.6740571758347487,0.16644331324123235,0.473574347668297
54,2025-01-03,8,0.43061865648470055,0.7283490395510168,0.1997845082224321,0.5217753109522916
55,2025-01-04,8,0.4385716386092745,0.6758627102112345,0.1860310116260192,0.4940820176644406
56,2025-01-05,8,0.42439980077837874,0.6380690814349171,0.20486471675549758,0.47635067010092763
57,2025-01-06,9,0.3934308728161108,0.6584101366964142,0.18113506231697024,0.47284655213147736
58,2025-01-07,9,0.43777493270507056,0.7031959710474585,0.18618912656798328,0.5075890003419927
59,2025-01-08,9,0.38961834891273517,0.6952908295466051,0.167321624206242,0.4868804080530469
60,2025-01-09,9,0.40530484815225376,0.7538757212273677,0.1678273029373905,0.520220898386095
61,2025-01-10,9,0.5107896437633035,0.6851543969714053,0.18982026992175888,0.5177296769069683
62,2025-01-11,9,0.43718928571465077,0.7164959878447952,0.1628964227154454,0.5082694210299216
63,2025-01-12,9,0.43547847625754266,0.6963672288492304,0.17978197483207417,0.5019987271970194
64,2025-01-13,10,0.48415912054931587,0.7084041923085609,0.19625473222474932,0.5243055593477968
65,2025-01-14,10,0.5076694736145199,0.7580412543760002,0.19130414378566415,0.5537640315380461
66,2025-01-15,10,0.44253401373995505,0.7123523395606091,0.19914613906045198,0.5165962079804063
67,2025-01-16,10,0.4837220880342565,0.7780631412625747,0.16632870823379775,0.551544269698301
68,2025-01-17,10,0.4888695106239471,0.7062049012247779,0.17549492439959805,0.5191935593682753
69,2025-01-18,10,0.47316561747197494,0.7568579062179076,0.16110797573031718,0.5369973514095269
70,2025-01-19,10,0.4581336246120667,0.79102796943171,0.19393349318457365,0.5585307641650151
71,2025-01-20,11,0.5096961490393659,0.8213391679833857,0.19153659387107114,0.5859777697193022
72,2025-01-21,11,0.49626097628653126,0.7909331252893612,0.17936549781858843,0.5643731811709605
73,2025-01-22,11,0.4835033578876206,0.817434001119432,0.16083452070764,0.5698014702085311
74,2025-01-23,11,0.4812881569001073,0.8290999965846106,0.15203675871514793,0.5728812271961191
75,2025-01-24,11,0.5088673128727144,0.7721137583332066,0.2054637717225918,0.56463965031543
76,2025-01-25,11,0.4748602540614575,0.8384175376715087,0.2006729639121042,0.5880920733291448
77,2025-01-26,11,0.46179138542620607,0.8326939687247343,0.15222045808292956,0.569849945239651
78,2025-01-27,12,0.5150310003055203,0.8078452023290662,0.1572340131466367,0.5719888545275723
79,2025-01-28,12,0.4856375413500957,0.8566640131490114,0.17039249782608396,0.5923395163685506
80,2025-01-29,12,0.5040495416245907,0.8421691824025961,0.1689174202698366,0.5893263316749049
81,2025-01-30,12,0.5058966432953472,0.8934093365306119,0.1691251501759242,0.6154601166331238
82,2025-01-31,12,0.5084909661618565,0.8760329507251267,0.18695179129093825,0.611877164725762
83,2025-02-01,12,0.5319644112519606,0.8524685196782626,0.20634406191077376,0.610811378129815
84,2025-02-02,12,0.4794970462960963,0.8866951285177437,0.17411585481655453,0.6067507895370345
